Tipo,Ejercicio,Pecho-Pectoral Superior,Pecho-Pectoral Medio,Pecho-Pectoral Inferior,Hombro-Deltoides Anterior,Hombro-Deltoides Medio,Hombro-Deltoides Posterior,Brazo-Tricep,Brazo-Bicep,Brazo-Antebrazo,ESPALDA-DORSAL,ESPALDA-REDONDO,ESPALDA-SACROLUMBAR,ESPALDA-TRAPECIO,PIERNA-GLÚTEO,PIERNA-CUÁDRICEPS,PIERNA-FEMORAL,PIERNA-GEMELO,TORSO-SERRATO,TORSO-OBLICUO,TORSO-ABDOMEN SUPERIOR,TORSO-ABDOMEN INFERIOR
Auxiliar,Glúteos-Extensión cadera acostado en máquina,,,,,,,,,,,,,,3,,,,,,,
Auxiliar,Glúteos-Extensión cadera en banco plano,,,,,,,,,,,,,,3,,,,,,,
Auxiliar,Glúteos-Extensión cadera abdomen en suelo,,,,,,,,,,,,,,3,,,,,,,
Auxiliar,Abdomen-Encogimientos o crunch,,,,,,,,,,,,,,,,,,,2,3,3
Auxiliar,Abdomen-Encogimientos o crunch pies en suelo,,,,,,,,,,,,,,,,,,,2,3,2
Auxiliar,Abdomen-Elevaciones del tronco en el suelo,,,,,,,,,,,,,,,,,,,2,3,3
Auxiliar,Abdomen-Encogimientos con pies apoyados en banco,,,,,,,,,,,,,,,,,,,2,3,2
Auxiliar,Abdomen-Elevaciones del tronco en banco inclinado,,,,,,,,,,,,,,,1,,,,2,3,3
Auxiliar,Abdomen-Elevaciones del tronco en plancha inclinada,,,,,,,,,,,,,,,1,,,,2,3,3
Auxiliar,Abdomen-Elevaciones de tronco en suspensión en banco,,,,,,,,,,,,,,,1,,,,2,3,3
Auxiliar,Abdomen-Elevaciones de pelvis en suelo,,,,,,,,,,,,,,,,,,,3,3,3
Auxiliar,Abdomen-Encogimientos abdominales con polea alta,,,,,,,,,,,,,,,,,,,2,3,3
Auxiliar,Abdomen-Encogimientos en máquina específica,,,,,,,,,,,,,,,1,,,,3,2,2
Auxiliar,Abdomen-Abdominal corto sentado en banco,,,,,,,,,,,,,,,1,,,,2,3,3
Auxiliar,Abdomen-Abdominal corto oblicuo pies en suelo,,,,,,,,,,,,,,,1,,,,3,3,3
Auxiliar,Abdomen-Oblicuos alternos en el suelo,,,,,,,,,,,,,,,1,,,,3,2,2
Auxiliar,Abdomen-Elevaciones de piernas en plancha inclinada,,,,,,,,,,,,,,,1,,,,2,2,3
Auxiliar,Abdomen-Elevaciones de rodillas en paralelas,,,,,,,,,,,,,,,1,,,,3,2,3
Auxiliar,Abdomen-Elevaciones de piernas suspendido en barra,,,,,,,,,,,,,,,2,,,,2,3,3
Auxiliar,Abdomen-Rotación del tronco con bastón,,,,,,,,,,,,,,,,,,,3,2,2
Auxiliar,Abdomen-Rotación de pelvis en suelo,,,,,,,,,,,,,,,,,,,3,2,3
